Новиков,Андрей,+7 (555) 555-55-55,Семья
Петров,Максим,+7 777 777-77-77,Семья
Васин,Максим,+7-222-222-22-22,Семья
Козлов,Петр,+7 777 777-77-77,Друзья
Васин,Дмитрий,+7 (333) 333-33-33,Семья
Петров,Алексей,+7 111 111-11-11,Работа
Козлов,Андрей,+7-000-000-00-00,Работа
Смирнов,Иван,+7 (777) 777-77-77,Другое
Козлов,Сидор,+7-999-999-99-99,Семья
Сидоров,Максим,+7 666 666-66-66,Работа
Козлов,Максим,+7-666-666-66-66,Семья
Петров,Дмитрий,+7 (333) 333-33-33,Другое
Рыков,Иван,+7 (999) 999-99-99,Другое
Смирнов,Андрей,+7-222-222-22-22,Семья
Новиков,Максим,+7 (000) 000-00-00,Другое
Смирнов,Петр,+7 666 666-66-66,Друзья
Васин,Дмитрий,+7 (777) 777-77-77,Семья
Рыков,Иван,+7-333-333-33-33,Друзья
Козлов,Сидор,+7 (777) 777-77-77,Работа
Сидоров,Сидор,+7 999 999-99-99,Работа
Васин,Дмитрий,+7-333-333-33-33,Работа
Козлов,Максим,+7 (888) 888-88-88,Семья
Смирнов,Дмитрий,+7-888-888-88-88,Друзья
Новиков,Андрей,+7 (111) 111-11-11,Другое
Рыков,Иван,+7 (444) 444-44-44,Друзья
Петров,Петр,+7 (666) 666-66-66,Друзья
Смирнов,Дмитрий,+7 888 888-88-88,Работа
Рыков,Алексей,+7 111 111-11-11,Друзья
Смирнов,Максим,+7 (888) 888-88-88,Друзья
Рыков,Алексей,+7-333-333-33-33,Другое
